행정구역,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,공원_개수,총_인구수,입시학원_개수,어린이집_개수,초미세먼지_최대치,일산화탄소_최대치,마트거리(km),병원거리(km)
개포동,디에이치아너힐즈,59.8732,202103,2,215000,15,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,76.1709,202103,9,258000,11,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.7479,202103,27,213000,7,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,84.357,202104,4,266000,20,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,76.1709,202104,23,259000,6,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,76.1709,202104,27,244000,15,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.8732,202105,15,218000,7,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,106.67,202105,26,398000,6,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.8072,202106,5,215000,7,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,49.4013,202106,5,182000,5,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.8072,202106,5,215000,7,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,76.1709,202106,12,286000,12,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,94.8407,202107,23,342000,25,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,84.357,202107,29,285000,9,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.8732,202108,17,233000,4,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.8732,202108,25,226000,4,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.7479,202109,11,235000,9,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
